crown_uid,area,source_file,source_index,orig_crown_id,crown_num,species_raw,species_clean,species_status,tree_type_raw,health_class,field_status,field_description,lon,lat,label_esd,label_deciduous,label_acacia,label_yellow_strict,label_yellow_broad,label_red_showy,label_showy_flower,s1_n_obs,s1_n_years,s1_vv_db_median,s1_vv_db_mean,s1_vv_db_std,s1_vv_db_amp,s1_monsoon_vv_db_median,s1_postmonsoon_vv_db_median,s1_premonsoon_vv_db_median,s1_winter_vv_db_median,s1_vh_db_median,s1_vh_db_mean,s1_vh_db_std,s1_vh_db_amp,s1_monsoon_vh_db_median,s1_postmonsoon_vh_db_median,s1_premonsoon_vh_db_median,s1_winter_vh_db_median,s1_vh_vv_ratio_median,s1_vh_vv_ratio_mean,s1_vh_vv_ratio_std,s1_vh_vv_ratio_amp,s1_monsoon_vh_vv_ratio_median,s1_postmonsoon_vh_vv_ratio_median,s1_premonsoon_vh_vv_ratio_median,s1_winter_vh_vv_ratio_median,s1_vh_minus_vv_db_median,s1_vh_minus_vv_db_mean,s1_vh_minus_vv_db_std,s1_vh_minus_vv_db_amp,s1_monsoon_vh_minus_vv_db_median,s1_postmonsoon_vh_minus_vv_db_median,s1_premonsoon_vh_minus_vv_db_median,s1_winter_vh_minus_vv_db_median,s1_years,s1_item_count,geometry_mode,buffer_meters
SV_S1:crown_0538,SV_S1,s1_master_format.geojson,537,crown_0538,538,Prosopis Juliflora,Prosopis Juliflora,clean,Acacia,Full canopy,completed,,77.1772959061565,28.53247986977057,1,0,1,0,-1,0,0,113,4,-5.757249355316162,-5.760830940398495,1.1619140550565912,6.050343990325928,-5.421551704406738,-5.722947120666504,-5.584249496459961,-6.402727127075195,-11.185711860656738,-11.103830118094926,1.1136942652242967,5.193489074707031,-11.269941329956056,-11.506546020507812,-10.809926986694336,-10.98883819580078,0.3051595687866211,0.3137805956391106,0.1075372429551591,0.5814754068851471,0.2995332181453705,0.2781315445899963,0.2870367765426636,0.3514754772186279,-5.154775142669678,-5.284779618271684,1.476926920104629,7.4897847175598145,-5.235687732696533,-5.557757377624512,-5.422695636749268,-4.545934677124023,"2022,2023,2024,2025",113,buffer,20.0
SV_S2:crown_0071,SV_S2,s2_master_format.geojson,70,crown_0071,71,Neem,Neem,clean,Non-Acacia,Full canopy,completed,,77.17390838771412,28.52886539438284,1,0,0,0,0,0,0,113,4,-6.740816593170166,-6.719671553215094,1.0720104085118691,5.981688976287842,-6.585357189178467,-6.570040225982666,-6.922127723693848,-7.081707000732422,-11.542190551757812,-11.601428226032088,0.9728501073959648,5.8629255294799805,-11.467107772827148,-12.105941772460938,-11.439653396606444,-11.452816009521484,0.34314626455307,0.350800033296104,0.1178412927632539,0.6426732093095779,0.3363354206085205,0.2870007157325744,0.3715954422950744,0.3790695369243622,-4.653985023498535,-4.79510653968406,1.4668948032854623,7.845796823501587,-4.732998371124268,-5.422885894775391,-4.307907104492188,-4.214166164398193,"2022,2023,2024,2025",113,buffer,20.0
SV_S2:crown_0105,SV_S2,s2_master_format.geojson,104,crown_0105,105,Prosopis Juliflora,Prosopis Juliflora,clean,Acacia,Full canopy,completed,,77.17327516305187,28.5289818756506,1,0,1,0,-1,0,0,113,4,-7.044838905334473,-6.928661158654542,1.0760369159168968,6.298379182815552,-6.452354907989502,-6.781199455261231,-7.452015399932861,-7.373013973236084,-11.59379768371582,-11.78234336650477,1.0047556196083278,4.658500671386719,-11.71556568145752,-12.260247230529783,-11.179132461547852,-11.567788124084473,0.3183480501174927,0.3507941323044026,0.1168136562709898,0.4806948453187942,0.283736452460289,0.2893404066562652,0.4389788210391998,0.3740485608577728,-4.970977783203125,-4.800601203884699,1.504819025221688,6.381858825683594,-5.471250534057617,-5.385908126831055,-3.575564384460449,-4.270720481872559,"2022,2023,2024,2025",113,buffer,20.0
SV_S2:crown_0112,SV_S2,s2_master_format.geojson,111,crown_0112,112,,,missing,Acacia,Leaf shed,pending,,77.1732410048999,28.52920015340072,-1,-1,1,-1,-1,-1,-1,113,4,-6.895842552185059,-6.898754432138088,0.9732769383339008,4.894625663757324,-6.346125364303589,-7.018409729003906,-6.931740760803223,-7.539159774780273,-11.917705535888672,-11.841215226502545,1.0263715876995996,4.489519119262695,-12.024105072021484,-12.21793270111084,-11.437646865844728,-11.996042251586914,0.3288628458976745,0.3347567144484646,0.1132197571445019,0.5705448240041733,0.2711597681045532,0.2778282165527344,0.3414392471313476,0.3471520543098449,-4.835362434387207,-4.990776462892516,1.421914942064298,6.80424690246582,-5.67069149017334,-5.5630645751953125,-4.667375564575195,-4.594813823699951,"2022,2023,2024,2025",113,buffer,20.0
SV_S2:crown_0113,SV_S2,s2_master_format.geojson,112,crown_0113,113,Prosopis Juliflora,Prosopis Juliflora,clean,Acacia,Full canopy,completed,,77.17329970272849,28.529166265885912,1,0,1,0,-1,0,0,113,4,-6.889481544494629,-6.912760413853468,0.9623779651904832,5.010201930999756,-6.369923114776611,-6.983847618103027,-6.867284774780273,-7.422928333282471,-11.956815719604492,-11.872525510534777,1.0392265470029491,4.719528198242188,-12.106743812561035,-12.21793270111084,-11.539312362670898,-11.97681999206543,0.3134626150131225,0.3339529670445265,0.1120597207935683,0.5319101214408875,0.2809795886278152,0.3094796538352966,0.3553411960601806,0.362474262714386,-5.040678977966309,-5.008283003241615,1.4581526570171552,6.867250442504883,-5.513744115829468,-5.093844413757324,-4.493666648864746,-4.408627033233643,"2022,2023,2024,2025",113,buffer,20.0
SV_S2:crown_0133,SV_S2,s2_master_format.geojson,132,crown_0133,133,Subabool,Subabool,clean,Acacia,Leaf shed,completed,With arjun,77.17361990178455,28.528981636991546,1,0,1,0,0,0,0,113,4,-6.877793788909912,-6.823591179552332,1.0604764343599793,5.718199968338013,-6.619949579238892,-6.419541358947754,-6.960589408874512,-7.2441630363464355,-11.621572494506836,-11.705095172983356,0.969097413353505,5.300713539123535,-11.700884342193604,-12.214990615844728,-11.202775955200195,-11.774491310119627,0.3225149810314178,0.3493331918674233,0.1276969651752723,0.6800287067890167,0.2950449287891388,0.2519078850746155,0.4064999520778656,0.3500740230083465,-4.914501190185547,-4.850365212533326,1.5731637271870598,7.974084854125977,-5.301765203475952,-5.987581729888916,-3.909395217895508,-4.558402061462402,"2022,2023,2024,2025",113,buffer,20.0
SV_S2:crown_0152,SV_S2,s2_master_format.geojson,151,crown_0152,152,Prosopis Juliflora,Prosopis Juliflora,clean,Acacia,Full canopy,completed,,77.17383985244194,28.52877651598267,1,0,1,0,-1,0,0,113,4,-6.676443099975586,-6.818215598047307,1.0589400331058376,5.74465799331665,-6.43066930770874,-6.75229549407959,-6.839266777038574,-7.191237449645996,-11.765732765197754,-11.756161487208004,0.9985687686375966,6.325873374938965,-11.626884937286375,-11.91307544708252,-11.471147537231444,-11.92381477355957,0.3318562507629394,0.3454946137107579,0.1128716974833002,0.5487212538719177,0.3115548938512802,0.2902017831802368,0.3513132035732269,0.3693426251411438,-4.790549278259277,-4.854564810221175,1.4470359256160357,7.044223308563232,-5.0660130977630615,-5.373135566711426,-4.543096542358398,-4.325706481933594,"2022,2023,2024,2025",113,buffer,20.0
SV_S2:crown_0157,SV_S2,s2_master_format.geojson,156,crown_0157,157,Others,,ambiguous_or_unknown,Acacia,Leaf shed,completed,Rongh,77.1735060922295,28.5295550442035,-1,-1,1,-1,-1,-1,-1,113,4,-6.470447540283203,-6.503365442816135,1.1690764432147631,6.240834712982178,-6.366910457611084,-6.436742305755615,-6.46738862991333,-6.896585464477539,-11.640860557556152,-11.714324562950472,1.1934436325958997,6.782520294189453,-11.756829738616943,-12.568252563476562,-10.819705963134766,-11.47266960144043,0.3133665025234222,0.320958297337051,0.1117027960336786,0.608877569437027,0.2920798659324646,0.2549397945404053,0.3487604558467865,0.3242475688457489,-5.039484024047852,-5.213216830143886,1.590698054305805,9.1067795753479,-5.351430654525757,-5.935626983642578,-4.575479507446289,-4.891618728637695,"2022,2023,2024,2025",113,buffer,20.0
SV_S2:crown_0169,SV_S2,s2_master_format.geojson,168,crown_0169,169,Prosopis Juliflora,Prosopis Juliflora,clean,Acacia,Full canopy,pending,Babool,77.17334435105023,28.529255315567937,1,0,1,0,-1,0,0,113,4,-6.819823265075684,-6.853312420634042,1.0442837818946211,5.633946418762207,-6.463122606277466,-6.777022361755371,-6.904994964599609,-7.61244010925293,-11.965436935424805,-11.806160715828955,1.0826716903853328,5.077000617980957,-11.938326358795166,-12.235443115234377,-11.786144256591797,-11.929983139038086,0.3077728748321533,0.3358758715665446,0.1162296020317921,0.735792264342308,0.2861621379852295,0.2981686890125274,0.3310873210430145,0.3826120793819427,-5.117696762084961,-4.969323052769214,1.396636177401701,8.14814281463623,-5.433878183364868,-5.255380630493164,-4.800573348999023,-4.172412872314453,"2022,2023,2024,2025",113,buffer,20.0
SV_S2:crown_0192,SV_S2,s2_master_format.geojson,191,crown_0192,192,Prosopis Juliflora,Prosopis Juliflora,clean,Acacia,Full canopy,completed,,77.17351341629839,28.529784950952383,1,0,1,0,-1,0,0,113,4,-5.794937133789063,-5.9085601853058405,1.240413414024334,6.588645935058594,-6.018204927444458,-5.778432846069336,-5.541319370269775,-6.337349891662598,-11.14651870727539,-11.24295782409938,1.0659773516026678,6.256742477416992,-11.194903373718262,-11.813339233398438,-10.80388069152832,-11.183799743652344,0.2924653887748718,0.30997785892898,0.1087763772591829,0.5516394451260567,0.3112909942865371,0.2439152300357818,0.3012076616287231,0.3171626031398773,-5.341290473937988,-5.37520349764191,1.6178571378233493,8.972477197647095,-5.079694271087647,-6.160472869873047,-5.211738109588623,-4.988849639892578,"2022,2023,2024,2025",113,buffer,20.0
