date,id,datetime,year,month,season,orbit_state,relative_orbit,platform
2024-04-05,S1A_IW_GRDH_1SDV_20240405T125521_20240405T125550_053299_067618_rtc,2024-04-05T12:55:35.695344+00:00,2024,4,premonsoon,ascending,27,SENTINEL-1A
2024-04-17,S1A_IW_GRDH_1SDV_20240417T125521_20240417T125550_053474_067D06_rtc,2024-04-17T12:55:35.992671+00:00,2024,4,premonsoon,ascending,27,SENTINEL-1A
2024-04-29,S1A_IW_GRDH_1SDV_20240429T125521_20240429T125550_053649_0683E9_rtc,2024-04-29T12:55:36.366203+00:00,2024,4,premonsoon,ascending,27,SENTINEL-1A
2024-05-11,S1A_IW_GRDH_1SDV_20240511T125521_20240511T125550_053824_068A89_rtc,2024-05-11T12:55:36.443534+00:00,2024,5,premonsoon,ascending,27,SENTINEL-1A
2024-05-23,S1A_IW_GRDH_1SDV_20240523T125521_20240523T125550_053999_06908E_rtc,2024-05-23T12:55:36.028511+00:00,2024,5,premonsoon,ascending,27,SENTINEL-1A
2024-06-04,S1A_IW_GRDH_1SDV_20240604T125521_20240604T125550_054174_06969B_rtc,2024-06-04T12:55:35.729628+00:00,2024,6,monsoon,ascending,27,SENTINEL-1A
2024-06-16,S1A_IW_GRDH_1SDV_20240616T125520_20240616T125549_054349_069CA9_rtc,2024-06-16T12:55:35.383982+00:00,2024,6,monsoon,ascending,27,SENTINEL-1A
2024-07-10,S1A_IW_GRDH_1SDV_20240710T125519_20240710T125548_054699_06A8D5_rtc,2024-07-10T12:55:34.220541+00:00,2024,7,monsoon,ascending,27,SENTINEL-1A
2024-07-22,S1A_IW_GRDH_1SDV_20240722T125519_20240722T125548_054874_06AEE3_rtc,2024-07-22T12:55:33.860479+00:00,2024,7,monsoon,ascending,27,SENTINEL-1A
2024-08-03,S1A_IW_GRDH_1SDV_20240803T125519_20240803T125548_055049_06B4EE_rtc,2024-08-03T12:55:33.930521+00:00,2024,8,monsoon,ascending,27,SENTINEL-1A
2024-08-15,S1A_IW_GRDH_1SDV_20240815T125519_20240815T125548_055224_06BB4D_rtc,2024-08-15T12:55:33.598420+00:00,2024,8,monsoon,ascending,27,SENTINEL-1A
2024-08-27,S1A_IW_GRDH_1SDV_20240827T125519_20240827T125548_055399_06C1CC_rtc,2024-08-27T12:55:34.081250+00:00,2024,8,monsoon,ascending,27,SENTINEL-1A
2024-09-08,S1A_IW_GRDH_1SDV_20240908T125519_20240908T125548_055574_06C878_rtc,2024-09-08T12:55:34.369563+00:00,2024,9,monsoon,ascending,27,SENTINEL-1A
