method,split,holdout,seed,n_labeled_train,n_unlabeled_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,positive_f1,confusion_matrix,cm_labels,n_pseudo_labeled,pseudo_label_counts,ssl_iterations,ssl_termination,n_cluster_labeled_added,cluster_label_counts_added
ssl_self_training_logistic,leave_area_out,SV_S2,42,373,2122,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.4444444444444444,0.4444444444444444,0.30769230769230765,0.6153846153846153,"[[0, 9], [1, 8]]","[0, 1]",1939.0,"{0: 833, 1: 1106}",10.0,max_iter,,
ssl_self_training_extra_trees,leave_area_out,SV_S2,42,373,2122,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.5,0.5,0.3333333333333333,0.6666666666666666,"[[0, 9], [0, 9]]","[0, 1]",1467.0,"{0: 767, 1: 700}",10.0,max_iter,,
ssl_numpy_label_spreading_knn,leave_area_out,SV_S2,42,373,2122,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.6111111111111112,0.6111111111111112,0.6,0.6666666666666666,"[[4, 5], [2, 7]]","[0, 1]",1736.0,"{0: 1114, 1: 622}",,,,
hard_cluster_labels_extra_trees,leave_area_out,SV_S2,42,373,0,18,"{0: 317, 1: 56}","{0: 9, 1: 9}",0.5555555555555556,0.5555555555555556,0.55,0.6,"[[4, 5], [3, 6]]","[0, 1]",,,,,1372.0,"{0: 799, 1: 573}"
supervised_logistic,leave_area_out,SV_S4,42,363,0,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.6785714285714286,0.625,0.6199095022624435,0.7692307692307692,"[[4, 4], [5, 15]]","[0, 1]",,,,,,
supervised_extra_trees,leave_area_out,SV_S4,42,363,0,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.7857142857142857,0.6625,0.6818181818181818,0.8636363636363635,"[[3, 5], [1, 19]]","[0, 1]",,,,,,
ssl_self_training_logistic,leave_area_out,SV_S4,42,363,2671,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.75,0.675,0.6813008130081302,0.8292682926829269,"[[4, 4], [3, 17]]","[0, 1]",2456.0,"{0: 891, 1: 1565}",10.0,max_iter,,
ssl_self_training_extra_trees,leave_area_out,SV_S4,42,363,2671,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.7142857142857143,0.5,0.41666666666666663,0.8333333333333333,"[[0, 8], [0, 20]]","[0, 1]",2112.0,"{0: 785, 1: 1327}",10.0,max_iter,,
ssl_numpy_label_spreading_knn,leave_area_out,SV_S4,42,363,2671,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.6428571428571429,0.4875,0.46969696969696967,0.7727272727272727,"[[1, 7], [3, 17]]","[0, 1]",2158.0,"{0: 1250, 1: 908}",,,,
hard_cluster_labels_extra_trees,leave_area_out,SV_S4,42,363,0,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.5357142857142857,0.6375,0.5351213282247765,0.5517241379310346,"[[7, 1], [12, 8]]","[0, 1]",,,,,1921.0,"{0: 1165, 1: 756}"
supervised_logistic,leave_area_out,SV_S3,42,366,0,25,"{0: 318, 1: 48}","{0: 8, 1: 17}",0.68,0.5,0.40476190476190477,0.8095238095238095,"[[0, 8], [0, 17]]","[0, 1]",,,,,,
supervised_extra_trees,leave_area_out,SV_S3,42,366,0,25,"{0: 318, 1: 48}","{0: 8, 1: 17}",0.72,0.5955882352941176,0.592074592074592,0.8205128205128205,"[[2, 6], [1, 16]]","[0, 1]",,,,,,
ssl_self_training_logistic,leave_area_out,SV_S3,42,366,2218,25,"{0: 318, 1: 48}","{0: 8, 1: 17}",0.68,0.5,0.40476190476190477,0.8095238095238095,"[[0, 8], [0, 17]]","[0, 1]",2013.0,"{0: 1027, 1: 986}",10.0,max_iter,,
ssl_self_training_extra_trees,leave_area_out,SV_S3,42,366,2218,25,"{0: 318, 1: 48}","{0: 8, 1: 17}",0.68,0.5,0.40476190476190477,0.8095238095238095,"[[0, 8], [0, 17]]","[0, 1]",1593.0,"{0: 779, 1: 814}",10.0,max_iter,,
ssl_numpy_label_spreading_knn,leave_area_out,SV_S3,42,366,2218,25,"{0: 318, 1: 48}","{0: 8, 1: 17}",0.72,0.6617647058823529,0.6666666666666666,0.7999999999999999,"[[4, 4], [3, 14]]","[0, 1]",1756.0,"{0: 1101, 1: 655}",,,,
hard_cluster_labels_extra_trees,leave_area_out,SV_S3,42,366,0,25,"{0: 318, 1: 48}","{0: 8, 1: 17}",0.56,0.6433823529411764,0.56,0.56,"[[7, 1], [10, 7]]","[0, 1]",,,,,1468.0,"{0: 942, 1: 526}"
