regime,split,holdout,seed,model,n_train,n_test,crown_bal_acc,crown_f1,crown_cm,pixel_bal_acc,pixel_f1,pixel_cm
baseline,leave_area_out,SV_S3,42,extra_trees,337,25,0.625,0.85,"[[2, 6], [0, 17]]",0.8787,0.9091,"[[7, 1], [2, 15]]"
augmented,leave_area_out,SV_S3,42,rf_balanced,2408,25,0.7904,0.8,"[[7, 1], [5, 12]]",0.5,0.0,"[[8, 0], [17, 0]]"
augmented,leave_area_out,SV_S3,42,extra_trees,2408,25,0.8493,0.875,"[[7, 1], [3, 14]]",0.7059,0.5833,"[[8, 0], [10, 7]]"
baseline,random,n/a,43,rf_balanced,253,109,0.8254,0.7429,"[[87, 3], [6, 13]]",0.831,0.7647,"[[88, 2], [6, 13]]"
baseline,random,n/a,43,extra_trees,253,109,0.8462,0.7568,"[[86, 4], [5, 14]]",0.831,0.7647,"[[88, 2], [6, 13]]"
augmented,random,n/a,43,rf_balanced,2324,109,0.752,0.6452,"[[88, 2], [9, 10]]",0.5263,0.1,"[[90, 0], [18, 1]]"
augmented,random,n/a,43,extra_trees,2324,109,0.752,0.6452,"[[88, 2], [9, 10]]",0.6994,0.5517,"[[88, 2], [11, 8]]"
baseline,leave_area_out,SV_S1,43,rf_balanced,325,37,0.561,0.4,"[[17, 4], [11, 5]]",0.5074,0.1111,"[[20, 1], [15, 1]]"
baseline,leave_area_out,SV_S1,43,extra_trees,325,37,0.5521,0.4667,"[[14, 7], [9, 7]]",0.4985,0.2609,"[[17, 4], [13, 3]]"
augmented,leave_area_out,SV_S1,43,rf_balanced,2396,37,0.5625,0.2222,"[[21, 0], [14, 2]]",0.5,0.0,"[[21, 0], [16, 0]]"
augmented,leave_area_out,SV_S1,43,extra_trees,2396,37,0.5625,0.2222,"[[21, 0], [14, 2]]",0.5,0.0,"[[21, 0], [16, 0]]"
baseline,leave_area_out,SV_S2,43,rf_balanced,344,18,0.4444,0.2857,"[[6, 3], [7, 2]]",0.5,0.0,"[[9, 0], [9, 0]]"
baseline,leave_area_out,SV_S2,43,extra_trees,344,18,0.6111,0.5882,"[[6, 3], [4, 5]]",0.5556,0.5,"[[6, 3], [5, 4]]"
augmented,leave_area_out,SV_S2,43,rf_balanced,2415,18,0.5,0.1818,"[[8, 1], [8, 1]]",0.5,0.0,"[[9, 0], [9, 0]]"
augmented,leave_area_out,SV_S2,43,extra_trees,2415,18,0.3889,0.1538,"[[6, 3], [8, 1]]",0.5,0.0,"[[9, 0], [9, 0]]"
baseline,leave_area_out,SV_S4,43,rf_balanced,334,28,0.725,0.6207,"[[8, 0], [11, 9]]",0.5,0.0,"[[8, 0], [20, 0]]"
baseline,leave_area_out,SV_S4,43,extra_trees,334,28,0.8125,0.8333,"[[7, 1], [5, 15]]",0.75,0.6667,"[[8, 0], [10, 10]]"
augmented,leave_area_out,SV_S4,43,rf_balanced,2405,28,0.825,0.7879,"[[8, 0], [7, 13]]",0.5,0.0,"[[8, 0], [20, 0]]"
augmented,leave_area_out,SV_S4,43,extra_trees,2405,28,0.7375,0.7273,"[[7, 1], [8, 12]]",0.65,0.4615,"[[8, 0], [14, 6]]"
baseline,leave_area_out,SV_S3,43,rf_balanced,337,25,0.5625,0.8293,"[[1, 7], [0, 17]]",0.5294,0.1111,"[[8, 0], [16, 1]]"
baseline,leave_area_out,SV_S3,43,extra_trees,337,25,0.75,0.8947,"[[4, 4], [0, 17]]",0.8162,0.8824,"[[6, 2], [2, 15]]"
augmented,leave_area_out,SV_S3,43,rf_balanced,2408,25,0.8824,0.8667,"[[8, 0], [4, 13]]",0.5,0.0,"[[8, 0], [17, 0]]"
augmented,leave_area_out,SV_S3,43,extra_trees,2408,25,0.8493,0.875,"[[7, 1], [3, 14]]",0.6434,0.56,"[[7, 1], [10, 7]]"
baseline,random,n/a,44,rf_balanced,253,109,0.8614,0.75,"[[84, 6], [4, 15]]",0.752,0.6452,"[[88, 2], [9, 10]]"
baseline,random,n/a,44,extra_trees,253,109,0.8822,0.7619,"[[83, 7], [3, 16]]",0.8462,0.7568,"[[86, 4], [5, 14]]"
augmented,random,n/a,44,rf_balanced,2324,109,0.8254,0.7429,"[[87, 3], [6, 13]]",0.5,0.0,"[[90, 0], [19, 0]]"
augmented,random,n/a,44,extra_trees,2324,109,0.8254,0.7429,"[[87, 3], [6, 13]]",0.7313,0.6207,"[[89, 1], [10, 9]]"
baseline,leave_area_out,SV_S1,44,rf_balanced,325,37,0.5134,0.3704,"[[15, 6], [11, 5]]",0.5312,0.1176,"[[21, 0], [15, 1]]"
baseline,leave_area_out,SV_S1,44,extra_trees,325,37,0.4732,0.3871,"[[12, 9], [10, 6]]",0.4196,0.1667,"[[15, 6], [14, 2]]"
augmented,leave_area_out,SV_S1,44,rf_balanced,2396,37,0.5625,0.2222,"[[21, 0], [14, 2]]",0.5,0.0,"[[21, 0], [16, 0]]"
augmented,leave_area_out,SV_S1,44,extra_trees,2396,37,0.5625,0.2222,"[[21, 0], [14, 2]]",0.5,0.0,"[[21, 0], [16, 0]]"
baseline,leave_area_out,SV_S2,44,rf_balanced,344,18,0.5,0.4,"[[6, 3], [6, 3]]",0.5,0.0,"[[9, 0], [9, 0]]"
baseline,leave_area_out,SV_S2,44,extra_trees,344,18,0.6111,0.5882,"[[6, 3], [4, 5]]",0.5,0.4,"[[6, 3], [6, 3]]"
augmented,leave_area_out,SV_S2,44,rf_balanced,2415,18,0.5,0.1818,"[[8, 1], [8, 1]]",0.5,0.0,"[[9, 0], [9, 0]]"
augmented,leave_area_out,SV_S2,44,extra_trees,2415,18,0.3889,0.1538,"[[6, 3], [8, 1]]",0.5,0.0,"[[9, 0], [9, 0]]"
baseline,leave_area_out,SV_S4,44,rf_balanced,334,28,0.725,0.6207,"[[8, 0], [11, 9]]",0.5,0.0,"[[8, 0], [20, 0]]"
baseline,leave_area_out,SV_S4,44,extra_trees,334,28,0.8125,0.8333,"[[7, 1], [5, 15]]",0.6875,0.6452,"[[7, 1], [10, 10]]"
augmented,leave_area_out,SV_S4,44,rf_balanced,2405,28,0.85,0.8235,"[[8, 0], [6, 14]]",0.5,0.0,"[[8, 0], [20, 0]]"
augmented,leave_area_out,SV_S4,44,extra_trees,2405,28,0.7,0.7429,"[[6, 2], [7, 13]]",0.575,0.2609,"[[8, 0], [17, 3]]"
baseline,leave_area_out,SV_S3,44,rf_balanced,337,25,0.5331,0.8,"[[1, 7], [1, 16]]",0.5294,0.1111,"[[8, 0], [16, 1]]"
baseline,leave_area_out,SV_S3,44,extra_trees,337,25,0.625,0.85,"[[2, 6], [0, 17]]",0.8456,0.9143,"[[6, 2], [1, 16]]"
augmented,leave_area_out,SV_S3,44,rf_balanced,2408,25,0.761,0.7586,"[[7, 1], [6, 11]]",0.5,0.0,"[[8, 0], [17, 0]]"
augmented,leave_area_out,SV_S3,44,extra_trees,2408,25,0.7904,0.8,"[[7, 1], [5, 12]]",0.7941,0.7407,"[[8, 0], [7, 10]]"
