experiment,label,feature_set,split,holdout,model,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix
visual_drop_smallest_half,label_acacia_visual,embeddings,leave_area_out,SV_S1,logistic_c0.1,137,63,"{""0"": 53, ""1"": 84}","{""0"": 44, ""1"": 19}",0.746031746031746,0.638755980861244,0.6499999999999999,"[[40, 4], [12, 7]]"
visual_drop_smallest_half,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S1,logistic_c0.1,137,63,"{""0"": 53, ""1"": 84}","{""0"": 44, ""1"": 19}",0.746031746031746,0.638755980861244,0.6499999999999999,"[[40, 4], [12, 7]]"
visual_or_species,label_acacia_visual_or_species,embeddings,leave_area_out,SV_S2,svc_linearish,614,153,"{""0"": 441, ""1"": 173}","{""0"": 85, ""1"": 68}",0.6143790849673203,0.6367647058823529,0.6076752575079317,"[[37, 48], [11, 57]]"
visual_cluster_agree,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S3,svc_linearish,270,74,"{""0"": 161, ""1"": 109}","{""0"": 24, ""1"": 50}",0.5945945945945946,0.635,0.5898004434589801,"[[18, 6], [24, 26]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,leave_area_out,SV_S2,logistic_c0.1,203,97,"{""0"": 98, ""1"": 105}","{""0"": 46, ""1"": 51}",0.6391752577319587,0.6302216538789429,0.6231546231546231,"[[21, 25], [10, 41]]"
visual_all,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S1,logistic_c0.1,267,133,"{""0"": 121, ""1"": 146}","{""0"": 86, ""1"": 47}",0.6917293233082706,0.6265462642256309,0.6308806606647261,"[[73, 13], [28, 19]]"
visual_cluster_agree,label_acacia_visual,embeddings,leave_area_out,SV_S3,logistic_c0.5,270,74,"{""0"": 161, ""1"": 109}","{""0"": 24, ""1"": 50}",0.6216216216216216,0.6225,0.6030651340996169,"[[15, 9], [19, 31]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S2,logistic_c0.1,203,97,"{""0"": 98, ""1"": 105}","{""0"": 46, ""1"": 51}",0.6288659793814433,0.6193520886615516,0.6106155218554861,"[[20, 26], [10, 41]]"
visual_cluster_agree,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S1,svc_rbf_c0.5,227,117,"{""0"": 106, ""1"": 121}","{""0"": 79, ""1"": 38}",0.6239316239316239,0.6190872751499001,0.6027777777777777,"[[50, 29], [15, 23]]"
visual_or_species,label_acacia_visual_or_species,embeddings_plus_area,leave_area_out,SV_S3,rf_leaf3,655,112,"{""0"": 489, ""1"": 166}","{""0"": 37, ""1"": 75}",0.6339285714285714,0.6102702702702703,0.6035569368902702,"[[20, 17], [24, 51]]"
visual_or_species,label_acacia_visual_or_species,embeddings,leave_area_out,SV_S1,svc_linearish,607,160,"{""0"": 424, ""1"": 183}","{""0"": 102, ""1"": 58}",0.51875,0.6039553752535497,0.5085955885285789,"[[30, 72], [5, 53]]"
visual_or_species,label_acacia_visual_or_species,embeddings_plus_area,leave_area_out,SV_S1,svc_linearish,607,160,"{""0"": 424, ""1"": 183}","{""0"": 102, ""1"": 58}",0.5125,0.599053414469236,0.5012787723785166,"[[29, 73], [5, 53]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,leave_area_out,SV_S3,svc_linearish,231,69,"{""0"": 125, ""1"": 106}","{""0"": 19, ""1"": 50}",0.5507246376811594,0.5921052631578947,0.5367121507472384,"[[13, 6], [25, 25]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S3,rf_leaf3,231,69,"{""0"": 125, ""1"": 106}","{""0"": 19, ""1"": 50}",0.5652173913043478,0.5857894736842105,0.5436507936507937,"[[12, 7], [23, 27]]"
visual_or_species,label_acacia_visual_or_species,embeddings,leave_area_out,SV_S3,extra_leaf3,655,112,"{""0"": 489, ""1"": 166}","{""0"": 37, ""1"": 75}",0.6160714285714286,0.5832432432432433,0.5795722391968573,"[[18, 19], [24, 51]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S1,svc_linearish,199,101,"{""0"": 81, ""1"": 118}","{""0"": 63, ""1"": 38}",0.6732673267326733,0.581453634085213,0.555422168867547,"[[60, 3], [30, 8]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,leave_area_out,SV_S1,svc_linearish,199,101,"{""0"": 81, ""1"": 118}","{""0"": 63, ""1"": 38}",0.6633663366336634,0.5735171261487051,0.5481578947368421,"[[59, 4], [30, 8]]"
visual_all,label_acacia_visual,embeddings,leave_area_out,SV_S3,logistic_c0.5,307,93,"{""0"": 178, ""1"": 129}","{""0"": 29, ""1"": 64}",0.6021505376344086,0.5506465517241379,0.5487213114754099,"[[12, 17], [20, 44]]"
visual_all,label_acacia_visual,embeddings_plus_area,leave_area_out,SV_S3,rf_leaf3,307,93,"{""0"": 178, ""1"": 129}","{""0"": 29, ""1"": 64}",0.5053763440860215,0.5463362068965517,0.5007002801120448,"[[19, 10], [36, 28]]"
visual_or_species,label_acacia_visual_or_species,embeddings,leave_area_out,A1,logistic_c0.1,731,36,"{""0"": 491, ""1"": 240}","{""0"": 35, ""1"": 1}",0.9722222222222222,0.5,0.4929577464788732,"[[35, 0], [1, 0]]"
visual_or_species,label_acacia_visual_or_species,embeddings_plus_area,leave_area_out,A1,logistic_c0.1,731,36,"{""0"": 491, ""1"": 240}","{""0"": 35, ""1"": 1}",0.9722222222222222,0.5,0.4929577464788732,"[[35, 0], [1, 0]]"
