experiment,label,feature_set,split,holdout,model,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix
visual_all,label_acacia_visual,embeddings,leave_area_out,SV_S3,svc_rbf_c0.5,307,93,"{""0"": 178, ""1"": 129}","{""0"": 29, ""1"": 64}",0.4946236559139785,0.5290948275862069,0.4887121300736928,"[[18, 11], [36, 28]]"
visual_all,label_acacia_visual,embeddings,leave_area_out,SV_S3,rf_leaf3,307,93,"{""0"": 178, ""1"": 129}","{""0"": 29, ""1"": 64}",0.5161290322580645,0.5447198275862069,0.5079365079365079,"[[18, 11], [34, 30]]"
visual_all,label_acacia_visual,embeddings,leave_area_out,SV_S3,extra_leaf3,307,93,"{""0"": 178, ""1"": 129}","{""0"": 29, ""1"": 64}",0.4946236559139785,0.5385237068965517,0.49085614443797315,"[[19, 10], [37, 27]]"
visual_all,label_acacia_visual,embeddings,leave_area_out,SV_S4,logistic_c0.1,364,36,"{""0"": 191, ""1"": 173}","{""0"": 16, ""1"": 20}",0.75,0.7375,0.7401764234161989,"[[10, 6], [3, 17]]"
visual_all,label_acacia_visual,embeddings,leave_area_out,SV_S4,logistic_c0.5,364,36,"{""0"": 191, ""1"": 173}","{""0"": 16, ""1"": 20}",0.8333333333333334,0.8125,0.8193979933110369,"[[10, 6], [0, 20]]"
visual_all,label_acacia_visual,embeddings,leave_area_out,SV_S4,svc_linearish,364,36,"{""0"": 191, ""1"": 173}","{""0"": 16, ""1"": 20}",0.75,0.71875,0.712511091393079,"[[7, 9], [0, 20]]"
visual_all,label_acacia_visual,embeddings,leave_area_out,SV_S4,svc_rbf_c0.5,364,36,"{""0"": 191, ""1"": 173}","{""0"": 16, ""1"": 20}",0.6666666666666666,0.675,0.6666666666666665,"[[12, 4], [8, 12]]"
visual_all,label_acacia_visual,embeddings,leave_area_out,SV_S4,rf_leaf3,364,36,"{""0"": 191, ""1"": 173}","{""0"": 16, ""1"": 20}",0.6666666666666666,0.68125,0.6656346749226006,"[[13, 3], [9, 11]]"
visual_all,label_acacia_visual,embeddings,leave_area_out,SV_S4,extra_leaf3,364,36,"{""0"": 191, ""1"": 173}","{""0"": 16, ""1"": 20}",0.6388888888888888,0.65,0.6386100386100386,"[[12, 4], [9, 11]]"
visual_all,label_acacia_visual,embeddings_plus_area,random,,logistic_c0.1,280,120,"{""0"": 145, ""1"": 135}","{""0"": 62, ""1"": 58}",0.7583333333333333,0.7600111234705228,0.7581821972065874,"[[44, 18], [11, 47]]"
