crown_uid,area,crown_area_m2,species_clean,label_acacia_visual,label_acacia_species,label_acacia_clustering,pred_acacia_visual_model,prob_acacia_visual_model,model_confidence,model_cluster_disagree,uncertain,lon,lat,source_file,source_index,orig_crown_id
A3:crown_0094,A3,,,-1,-1,-1,1,0.5079198469507237,0.5079198469507237,False,True,77.19918693096686,28.54082967085093,A3_master.geojson,93,crown_0094
SV_S2:crown_0505,SV_S2,18.752706447632175,,-1,-1,0,1,0.5081190937594418,0.5081190937594418,True,True,77.17473143069319,28.529366379103383,s2_master_format.geojson,504,crown_0505
SIT:crown_0069,SIT,,,-1,-1,-1,1,0.5082880259960474,0.5082880259960474,False,True,77.19216451386109,28.54514344491104,sit_master(1).geojson,68,crown_0069
SV_S2:crown_0483,SV_S2,34.78538508578086,,-1,-1,0,1,0.5084200376878205,0.5084200376878205,True,True,77.17471039149676,28.529055569327173,s2_master_format.geojson,482,crown_0483
SV_S2:crown_0482,SV_S2,12.689110685733656,,-1,-1,0,1,0.5084200376878205,0.5084200376878205,True,True,77.17467677512913,28.528975823106187,s2_master_format.geojson,481,crown_0482
SV_S2:crown_0490,SV_S2,52.847432630385924,,-1,-1,0,1,0.5084200376878205,0.5084200376878205,True,True,77.17463181410719,28.529030462597067,s2_master_format.geojson,489,crown_0490
SV_S2:crown_0506,SV_S2,9.615621290134504,,-1,-1,0,1,0.5084200376878205,0.5084200376878205,True,True,77.17469722745862,28.52900882502513,s2_master_format.geojson,505,crown_0506
SIT:crown_0063,SIT,,Neem,-1,0,-1,0,0.4915293883852557,0.5084706116147443,False,True,77.19186803979763,28.54536222278808,sit_master(1).geojson,62,crown_0063
MITTAL:crown_0001,MITTAL,,Siris,-1,0,-1,0,0.4913889802342766,0.5086110197657234,False,True,77.18973922812673,28.54440213540592,mittal_master.geojson,0,crown_0001
SIT:crown_0121,SIT,,Ashok,-1,0,-1,1,0.5087105448436635,0.5087105448436635,False,True,77.19196260525344,28.546382510002218,sit_master(1).geojson,120,crown_0121
SV_S1:crown_0023,SV_S1,82.69532504623545,,-1,-1,0,0,0.4910160918366264,0.5089839081633736,False,True,77.17627677383342,28.532567074217603,s1_master_format.geojson,22,crown_0023
SIT:crown_0001,SIT,,Mandphali / Marodphali,-1,0,-1,0,0.49097416208849665,0.5090258379115034,False,True,77.19154765877741,28.54601779296744,sit_master(1).geojson,0,crown_0001
SV_S3:crown_0514,SV_S3,22.248392925217303,,-1,-1,0,0,0.4908977709798216,0.5091022290201783,False,True,77.1867399615026,28.530395006636034,s3_master_format.geojson,513,crown_0514
SV_S3:crown_0147,SV_S3,31.604906865810968,,-1,-1,1,1,0.5093668916385503,0.5093668916385503,False,True,77.18516273121261,28.53169268157045,s3_master_format.geojson,146,crown_0147
SV_S3:crown_0214,SV_S3,11.074739921927826,,-1,-1,0,1,0.5093668916385503,0.5093668916385503,True,True,77.18521267633426,28.53172057795464,s3_master_format.geojson,213,crown_0214
SV_S2:crown_0564,SV_S2,14.443361397724262,,-1,-1,0,1,0.5094219881283673,0.5094219881283673,True,True,77.17470703324211,28.528950144442245,s2_master_format.geojson,563,crown_0564
SV_S2:crown_0552,SV_S2,36.50115131979266,,-1,-1,0,1,0.5094219881283673,0.5094219881283673,True,True,77.1747011805639,28.52889575532582,s2_master_format.geojson,551,crown_0552
SIT:crown_0105,SIT,,,-1,-1,-1,0,0.4905245611003782,0.5094754388996219,False,True,77.19128564007407,28.54566390186874,sit_master(1).geojson,104,crown_0105
SV_S2:crown_0224,SV_S2,82.67084008074761,,-1,-1,1,1,0.5095113928700715,0.5095113928700715,False,True,77.17405443140527,28.528314057874724,s2_master_format.geojson,223,crown_0224
SV_S2:crown_0332,SV_S2,18.098470350832883,,-1,-1,1,1,0.5095113928700715,0.5095113928700715,False,True,77.17403169250105,28.528298246806767,s2_master_format.geojson,331,crown_0332
A2:crown_0121,A2,,,-1,-1,-1,1,0.5101521594821898,0.5101521594821898,False,True,77.19580830515201,28.545461542523363,A2_master.geojson,120,crown_0121
SV_S3:crown_0054,SV_S3,16.214072861783304,,-1,-1,0,1,0.5101940511993827,0.5101940511993827,True,True,77.18545771700104,28.530727782240973,s3_master_format.geojson,53,crown_0054
A2:crown_0072,A2,,Peepal,-1,0,-1,0,0.4897044097052335,0.5102955902947666,False,True,77.19535489423996,28.54431773717465,A2_master.geojson,71,crown_0072
SV_S4:crown_0152,SV_S4,19.47306393784061,Prosopis Juliflora,-1,1,1,1,0.5103296893910787,0.5103296893910787,False,True,77.18427006467932,28.532837759146933,s4_master_format.geojson,151,crown_0152
