crown_uid,area,crown_area_m2,species_clean,label_acacia_visual,label_acacia_species,label_acacia_clustering,pred_acacia_visual_model,prob_acacia_visual_model,model_confidence,model_cluster_disagree,uncertain,lon,lat,source_file,source_index,orig_crown_id
SV_S1:crown_0177,SV_S1,21.290612084091393,,-1,-1,0,0,0.08840279407812421,0.9115972059218758,False,False,77.17590474718197,28.533445992718185,s1_master_format.geojson,176,crown_0177
SV_S1:crown_0567,SV_S1,8.612234065646366,,-1,-1,0,0,0.08874003516091282,0.9112599648390872,False,False,77.17740125369288,28.533210398213992,s1_master_format.geojson,566,crown_0567
SV_S1:crown_0656,SV_S1,9.456939326243344,,-1,-1,0,0,0.08989750977562819,0.9101024902243718,False,False,77.17711882326827,28.5333797341936,s1_master_format.geojson,655,crown_0656
SV_S3:crown_0409,SV_S3,27.756213382435615,,-1,-1,1,1,0.9091287648598868,0.9091287648598868,False,False,77.18626763865382,28.53130928175783,s3_master_format.geojson,408,crown_0409
SV_S3:crown_0396,SV_S3,15.188445815271661,,-1,-1,0,1,0.9091287648598868,0.9091287648598868,True,False,77.18625180692966,28.53138537437493,s3_master_format.geojson,395,crown_0396
SV_S1:crown_0619,SV_S1,12.657980303590932,,-1,-1,1,1,0.9081871372464558,0.9081871372464558,False,False,77.17756446165785,28.53247515781117,s1_master_format.geojson,618,crown_0619
SV_S1:crown_0605,SV_S1,12.284422200442929,,-1,-1,1,1,0.9081871372464558,0.9081871372464558,False,False,77.17752120342053,28.532553616830626,s1_master_format.geojson,604,crown_0605
SV_S1:crown_0573,SV_S1,12.485799616677916,,-1,-1,1,0,0.09189335712159905,0.9081066428784009,True,False,77.17733742259378,28.533517460248127,s1_master_format.geojson,572,crown_0573
SV_S1:crown_0576,SV_S1,13.40489653201294,,-1,-1,0,0,0.09189335712159905,0.9081066428784009,False,False,77.1773346455475,28.5334791939301,s1_master_format.geojson,575,crown_0576
SV_S1:crown_0029,SV_S1,63.449883579927686,,-1,-1,1,1,0.9073941401051022,0.9073941401051022,False,False,77.17601176104172,28.532164345620693,s1_master_format.geojson,28,crown_0029
SV_S2:crown_0132,SV_S2,17.424304792484154,,-1,-1,1,1,0.907390685005171,0.907390685005171,False,False,77.17346533246992,28.529153808375984,s2_master_format.geojson,131,crown_0132
SV_S3:crown_0333,SV_S3,19.04315288330887,,-1,-1,1,1,0.9067974875862762,0.9067974875862762,False,False,77.18613187876807,28.531624354300977,s3_master_format.geojson,332,crown_0333
SV_S3:crown_0318,SV_S3,22.05761717535741,,-1,-1,1,1,0.9067974875862762,0.9067974875862762,False,False,77.18616237513159,28.53158173254942,s3_master_format.geojson,317,crown_0318
SV_S1:crown_0305,SV_S1,59.53632252408682,,-1,-1,0,0,0.09322039229993363,0.9067796077000664,False,False,77.17589424478878,28.533580729440864,s1_master_format.geojson,304,crown_0305
SV_S1:crown_0289,SV_S1,52.80847709954243,,-1,-1,0,0,0.09360822903295281,0.9063917709670472,False,False,77.17664817258678,28.53345334396281,s1_master_format.geojson,288,crown_0289
SV_S2:crown_0697,SV_S2,25.047667218444555,,-1,-1,0,0,0.0938022679965326,0.9061977320034674,False,False,77.17518003355518,28.529388540012352,s2_master_format.geojson,696,crown_0697
SV_S1:crown_0186,SV_S1,79.13512434766525,,-1,-1,0,0,0.09396651340504805,0.906033486594952,False,False,77.17578962206325,28.533579861310667,s1_master_format.geojson,185,crown_0186
SV_S2:crown_0660,SV_S2,92.4019148083661,,-1,-1,1,1,0.9056814705324923,0.9056814705324923,False,False,77.17524878807673,28.52800134452849,s2_master_format.geojson,659,crown_0660
SV_S1:crown_0210,SV_S1,36.28812998866671,,-1,-1,0,0,0.09458002820134655,0.9054199717986534,False,False,77.17638071106624,28.53381131254056,s1_master_format.geojson,209,crown_0210
SV_S1:crown_0214,SV_S1,32.65573738684948,,-1,-1,0,0,0.09458002820134655,0.9054199717986534,False,False,77.17633632161073,28.53377828891659,s1_master_format.geojson,213,crown_0214
SV_S4:crown_0155,SV_S4,18.677416588856477,,-1,-1,0,0,0.09465667792537294,0.9053433220746271,False,False,77.18341918852114,28.53360083534252,s4_master_format.geojson,154,crown_0155
SV_S1:crown_0170,SV_S1,29.74926337358336,,-1,-1,0,0,0.09474568760892918,0.9052543123910708,False,False,77.17591825770018,28.533339401452057,s1_master_format.geojson,169,crown_0170
SV_S1:crown_0145,SV_S1,14.257000959178274,,-1,-1,0,0,0.09474568760892918,0.9052543123910708,False,False,77.17595974761511,28.5332859718451,s1_master_format.geojson,144,crown_0145
SV_S1:crown_0532,SV_S1,26.172264566054576,,-1,-1,0,1,0.9048987920845879,0.9048987920845879,True,False,77.17738072768447,28.532326829474115,s1_master_format.geojson,531,crown_0532
SV_S1:crown_0412,SV_S1,21.624974580310536,,-1,-1,0,0,0.09619931511888283,0.9038006848811172,False,False,77.17686137279112,28.532791603462,s1_master_format.geojson,411,crown_0412
SV_S1:crown_0352,SV_S1,22.366091459235022,,-1,-1,0,0,0.09641497216329248,0.9035850278367075,False,False,77.17685596892031,28.53311185480455,s1_master_format.geojson,351,crown_0352
SV_S1:crown_0355,SV_S1,16.405959939583923,,-1,-1,1,0,0.09641497216329248,0.9035850278367075,True,False,77.17680601919129,28.53313371596643,s1_master_format.geojson,354,crown_0355
SV_S2:crown_0249,SV_S2,15.262072818471907,,-1,-1,0,0,0.09730864496439873,0.9026913550356013,False,False,77.17344910705242,28.529456846836567,s2_master_format.geojson,248,crown_0249
SV_S2:crown_0201,SV_S2,11.128656799717907,,-1,-1,0,0,0.09730864496439873,0.9026913550356013,False,False,77.17334963661759,28.529425144936106,s2_master_format.geojson,200,crown_0201
SV_S2:crown_0183,SV_S2,26.743733056552085,,-1,-1,0,0,0.09899113900380205,0.9010088609961979,False,False,77.17371318775518,28.5296574946488,s2_master_format.geojson,182,crown_0183
SV_S2:crown_0263,SV_S2,8.383888978269837,,-1,-1,0,0,0.09899113900380205,0.9010088609961979,False,False,77.1736610156684,28.529647147649072,s2_master_format.geojson,262,crown_0263
