crown_uid,area,crown_area_m2,species_clean,label_acacia_visual,label_acacia_species,label_acacia_clustering,pred_acacia_visual_model,prob_acacia_visual_model,model_confidence,model_cluster_disagree,uncertain,lon,lat,source_file,source_index,orig_crown_id
SV_S4:crown_0163,SV_S4,14.092496249562226,,-1,-1,0,1,0.8601027372540626,0.8601027372540626,True,False,77.18337305134816,28.532579841694847,s4_master_format.geojson,162,crown_0163
SV_S3:crown_0559,SV_S3,15.347494732778939,,-1,-1,0,1,0.858883139996945,0.858883139996945,True,False,77.18620366168128,28.532002614964306,s3_master_format.geojson,558,crown_0559
SV_S3:crown_0404,SV_S3,14.155146264944594,,-1,-1,0,1,0.8574248886157367,0.8574248886157367,True,False,77.18625346554691,28.53177599831124,s3_master_format.geojson,403,crown_0404
SV_S1:crown_0038,SV_S1,31.838029104776105,,-1,-1,0,1,0.8568779365470307,0.8568779365470307,True,False,77.1757949334922,28.532562168379105,s1_master_format.geojson,37,crown_0038
SV_S4:crown_0130,SV_S4,25.174370097380063,Bamboo clump,-1,0,1,0,0.14325955899548884,0.8567404410045112,True,False,77.18344860394788,28.533264099249227,s4_master_format.geojson,129,crown_0130
SV_S4:crown_0117,SV_S4,30.607927631303227,,-1,-1,0,1,0.8564918201268898,0.8564918201268898,True,False,77.18345144841658,28.532760614305552,s4_master_format.geojson,116,crown_0117
SV_S1:crown_0539,SV_S1,26.930979474986927,,-1,-1,0,1,0.8559695121249428,0.8559695121249428,True,False,77.1773906905171,28.532408423407567,s1_master_format.geojson,538,crown_0539
SV_S2:crown_0002,SV_S2,39.90496580238223,,-1,-1,0,1,0.8547786705472186,0.8547786705472186,True,False,77.17313019495579,28.528658500929915,s2_master_format.geojson,1,crown_0002
SV_S3:crown_0282,SV_S3,16.741194570506245,,-1,-1,0,1,0.853397269233174,0.853397269233174,True,False,77.1860565555697,28.530970246907,s3_master_format.geojson,281,crown_0282
SV_S1:crown_0436,SV_S1,20.60948848210286,,-1,-1,1,0,0.1474665551872044,0.8525334448127956,True,False,77.17696764194284,28.533421535870684,s1_master_format.geojson,435,crown_0436
SV_S1:crown_0438,SV_S1,21.310409869630885,,-1,-1,1,0,0.1474665551872044,0.8525334448127956,True,False,77.17699889268857,28.533445423838,s1_master_format.geojson,437,crown_0438
